page,name,link,thumbnail,rating,date,snippet,images,local_guide,CoffeeShop
1,J Wang,https://www.google.com/maps/contrib/106640539365685983426?hl=en-US&sa=X&ved=2ahUKEwiLnbeysJ_7AhXlrokEHdAgB00QvvQBegQIARBB,https://lh3.googleusercontent.com/a/ALm5wu2QSWGIwKAE5vfs-J-nezP6aZ-y7awqPbiiIKve=s40-c-c0x00000000-cc-rp-mo-ba2-br100,1.0,10 months ago,Ordered take away lunch and received this burned toastie (hidden downside) which is not eatable. I didn’t even think to check the food inside the take away box when left as I always trust the food qualify from PCP. Had to rush back to the cafe and asked for a refund and I ended up with no lunch-break time/food for this work day.,"['https://lh5.googleusercontent.com/p/AF1QipNcdQLdyYsJfgFPMhmey_S668Ds3EQce_lkMWi_=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMhNgAxYUdbAjTtiWJjJv90m0heYPXtPl0u_TSj=w100-h100-p-n-k-no']",True,Paramount Coffee Project
1,Manish Rai,https://www.google.com/maps/contrib/108730615315903749637?hl=en-US&sa=X&ved=2ahUKEwiLnbeysJ_7AhXlrokEHdAgB00QvvQBegQIARBf,https://lh3.googleusercontent.com/a/ALm5wu0hYMosOWP9kgWymQGkNe43uHOlkNRdlsMis1WM=s40-c-c0x00000000-cc-rp-mo-br100,1.0,6 months ago,"TLDR/Long story short: Wrong pricing online, overpriced, ridiculously small portions, busy and long wait times. Support a small cafe instead. Imagine coming to a cafe with an online menu that says Avo on Toast is 14.50. You come in and it’s now 18.50 with weekend surcharge of 10%. You’re paying 20 dollars for Avocado on Toast which is stupid. The coffee was priced well, OR SO WE THOUGHT Portions come in. Most cafes have 2 slices of sourdough or a large sourdough toast. This is the TINIEST toast I have seen. Employees excuse is that you’re paying for the ingredients on top of it. The normal plain toast which we got is also TINY. Lastly, look at the coffee compared to an IPhone XS. This is so tiny. I would get a full cup elsewhere for 4.50. Employees excuse is the cup size is on the counter, which in my opinion is not readily seen. Paid $60 as students who didn’t realise they had increased the price this much compared to their online menu and had weekend surcharge. Also they are so busy. Genuinely don’t know why people are supporting them with these small portions and high prices",['https://lh5.googleusercontent.com/p/AF1QipO-mjhY3Hcnr-VGiKR3fSz2KogFCNZUXfwVeW6u=w100-h100-p-n-k-no'],,Paramount Coffee Project
1,Lisa,https://www.google.com/maps/contrib/109018705457494595957?hl=en-US&sa=X&ved=2ahUKEwiLnbeysJ_7AhXlrokEHdAgB00QvvQBegQIARB3,https://lh3.googleusercontent.com/a-/ACNPEu-sy6SrzrfR-Isk0D_CJs7FsDJboAgevGFxEzOu=s40-c-c0x00000000-cc-rp-mo-br100,1.0,3 months ago,"Drinks order was taken and drinks never arrived, had to chase it up. Had to get up to find someone and ask them to take our food order. Ordered chicken and waffles and chicken burger which were both delicious until I discovered a very long dark hair in my burger. They did take it off the bill (obviously) but my wife was too grossed out to finish her food and we promptly left. Would not return.",,,Paramount Coffee Project
1,Angel Manuel,https://www.google.com/maps/contrib/112721620530784406063?hl=en-US&sa=X&ved=2ahUKEwiLnbeysJ_7AhXlrokEHdAgB00QvvQBegUIARCUAQ,https://lh3.googleusercontent.com/a-/ACNPEu850kajhSkuOq3Q-cBuySsmPrHuYCjhF6ntxD6U8w=s40-c-c0x00000000-cc-rp-mo-br100,1.0,2 months ago,"I came here twice, poor service. I ordered green tea, I received black tea. I was okay with the first mix-up, but I ordered breakfast avo on toast it never came...I was there for a good hour, luckily I was working and sipped on my tea to distract me with the time but I had to cancel. When I advised the girl at the cash register all she said was sorry, here is your bill. I even asked if the kitchen received my order ? she said ""yes, sorry about that' no explanation and her sorry was as empty as my stomach. I even thought I would again order coffees to go just to support local business but having some to reflect, I didn't feel valued and I don't think I will come back.",,,Paramount Coffee Project
1,Jisoo,https://www.google.com/maps/contrib/116897583389835913404?hl=en-US&sa=X&ved=2ahUKEwiLnbeysJ_7AhXlrokEHdAgB00QvvQBegUIARCqAQ,https://lh3.googleusercontent.com/a/ALm5wu25sD64ptT9IDc9DLx-teJxRptqjr_mJOhgMP31bQ=s40-c-c0x00000000-cc-rp-mo-br100,1.0,a year ago,"We came here because the coffee shop we were gonna go to was closed. We ordered housemade granola and miso ramen, and we were able to receive the food after 35 minutes. There weren’t many ppl. We definitely ordered ramen, but they gave us bibimbap. But fortunately, they switched to ramen. Granola had too little yogurt. But the servers were all nice.","['https://lh5.googleusercontent.com/p/AF1QipOGvbCmMvJPba6dpAIrnsrRiRtpQJRaMFhayYai=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipN6tk6TfgNeDpZs2RV5dkKVcDg8ZaySp-rWD2ie=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipNOvUhqvD9lRigR-zVrrSxGVbIeHqlONBWRVR0-=w100-h100-p-n-k-no']",,Paramount Coffee Project
1,Jayson Heron,https://www.google.com/maps/contrib/117237125610347504024?hl=en-US&sa=X&ved=2ahUKEwiLnbeysJ_7AhXlrokEHdAgB00QvvQBegUIARDEAQ,https://lh3.googleusercontent.com/a/ALm5wu39AAMgcR8taEHV7a-JqILpdX7HQHBXYSQdUsC8=s40-c-c0x00000000-cc-rp-mo-br100,1.0,6 months ago,"Came for breakfast on a Saturday. Started out well & food was good, but then it got busy & staff ignored us taking 1/2 hour just to order a second coffee. We also had to ask for the table to be cleared several times. All this is forgivable given current staff shortages, but the attitude was not. Very rude ‘good on you’ comments & other behaviour from the supervisor as if we were doing them a favour by being there.",,,Paramount Coffee Project
1,Sammi Ngo,https://www.google.com/maps/contrib/116253694259924319206?hl=en-US&sa=X&ved=2ahUKEwiLnbeysJ_7AhXlrokEHdAgB00QvvQBegUIARDaAQ,https://lh3.googleusercontent.com/a/ALm5wu1XizIxkVThIq21qJ0whWE5_90-rMub9IBV1VDv=s40-c-c0x00000000-cc-rp-mo-br100,1.0,5 months ago,"The venue is cool, but the staff is rude and arrogant - especially the staff serving takeaway orders at the bar. Not a great experience, and you don’t feel welcome as customers there. Food is okay and coffee is average.",,,Paramount Coffee Project
1,David Walton,https://www.google.com/maps/contrib/116892788134391281780?hl=en-US&sa=X&ved=2ahUKEwiLnbeysJ_7AhXlrokEHdAgB00QvvQBegUIARDwAQ,https://lh3.googleusercontent.com/a-/ACNPEu8cuJq4l-abSa68-iniGYwkeVRv-Pl6J6RDTMfB=s40-c-c0x00000000-cc-rp-mo-br100,1.0,11 months ago,Yesterday I ordered a takeaway LFW & a cream bun. I thought the girl said $9’s something and paid. Later when I checked my card App I realised I had been charged $19.76! Never again.,['https://lh5.googleusercontent.com/p/AF1QipPg_FnDft3t8OO5_r72rL_A2q1kpSUcKXpISfmf=w100-h100-p-n-k-no'],,Paramount Coffee Project
1,Wardrobe Stealer,https://www.google.com/maps/contrib/111028464196987023138?hl=en-US&sa=X&ved=2ahUKEwiLnbeysJ_7AhXlrokEHdAgB00QvvQBegUIARCIAg,https://lh3.googleusercontent.com/a/ALm5wu2bDZytq-FuSGOTfrrRhcHl-AuBpa5NponArZlq=s40-c-c0x00000000-cc-rp-mo-br100,1.0,5 months ago,"Overrated.. Servings are small, pricing is high for what it is, staff are rude, we had to keep moving at the shared table to make room for people arriving, food is average, weekend surcharges.. list goes on Lots of better cafes in area",,,Paramount Coffee Project
1,bella donovan,https://www.google.com/maps/contrib/105511226816560738180?hl=en-US&sa=X&ved=2ahUKEwiLnbeysJ_7AhXlrokEHdAgB00QvvQBegUIARCeAg,https://lh3.googleusercontent.com/a/ALm5wu3IqW5H4BChSJSD87BPMIYiMAEJOcifOQfWyg4T=s40-c-c0x00000000-cc-rp-mo-br100,1.0,3 years ago,"So overpriced. Spent $13 and got 1 piece of toast. I know its meant to be a trendy place but geez. I got takeaway and didnt realise until I had already left, otherwise I would have complained. I was honestly shocked when I opened the box and saw one tiny piece of toast. Disappointing, because adding another piece with a bit more avo, would make all the difference. Wont be going back.. sick of getting ripped off.",['https://lh5.googleusercontent.com/p/AF1QipPV4Lvi8KLDBMUQvvfbdiFoHfdBZ03cpGF0IQq8=w100-h100-p-n-k-no'],,Paramount Coffee Project
